time,ammeter_CS1,ammeter_PFP1,flux_loop_1,flux_loop_2,flux_loop_8
0.0,1.432327,0.09406973,-1.9900313e-05,-5.819502e-05,3.4466637e-05
0.001,5.7796607,0.12440023,4.2644257e-05,-5.812803e-05,-1.81978e-07
0.002,7.336918,0.7809009,6.906635e-05,-5.8026595e-05,-5.7126348e-05
0.003,9.332193,-0.21270956,9.716489e-05,-5.798263e-05,-5.7024583e-05
0.004,2.1637228,1.3402458,9.087233e-06,-2.9038729e-05,-8.7570894e-05
0.005,-1.5356853,-0.3486012,3.8474445e-05,-2.896319e-05,3.9880138e-06
0.006,-0.824505,0.32304937,3.9964365e-05,-5.7705558e-05,-2.664106e-05
0.006999999999999999,0.15129338,0.76750225,9.038992e-06,5.0539782e-08,-8.757029e-05
0.008,-3.6745698,1.1956774,9.2329865e-06,2.8989984e-05,-8.7585664e-05
0.009,-5.207863,0.5577903,9.07953e-06,-2.8649329e-05,-5.705778e-05
0.01,-0.9189786,-0.91506416,-2.120244e-05,2.9122513e-05,-2.6482021e-05
0.011,4.706118,-0.527336,9.302807e-06,2.5289928e-05,3.9588817e-06
0.012,9.488185,0.35956764,-2.0042702e-05,-5.7263496e-05,9.55004e-05
0.013,9.269252,-0.39787108,3.9298913e-05,5.3704804e-07,9.547175e-05
0.013999999999999999,0.6851631,1.7001759,4.3040563e-05,5.896741e-07,9.55473e-05
0.015,-2.4686925,0.54227805,3.8757385e-05,-5.7033874e-05,3.447482e-05
0.016,-4.5001073,-0.32049084,9.002879e-06,7.509119e-07,6.5011416e-05
0.016999999999999998,-3.3757641,-0.41676056,3.7158425e-05,7.962735e-07,0.00012614421
0.018,-4.266365,0.9307966,6.678461e-05,8.7766875e-07,0.00012613268
0.019,-5.0187354,0.48125967,7.602544e-06,9.5035455e-07,6.511228e-05
0.02,3.266916,-0.12300586,3.7695907e-05,2.9899968e-05,6.5066124e-05
0.020999999999999998,6.263757,-0.8408269,8.585637e-06,2.9987048e-05,4.002149e-06
0.022,8.44065,-0.34706938,-2.199147e-05,3.003819e-05,-8.747051e-05
0.023,8.602164,-0.6797515,9.275098e-06,1.3030036e-06,-2.656856e-05
0.024,3.6480858,0.10183767,-2.1298923e-05,-2.7502476e-05,-5.7006342e-05
0.024999999999999998,0.8744285,0.9454159,6.635338e-05,-5.6300963e-05,-8.817223e-08
0.026,0.4871662,0.4917839,3.665795e-05,-5.6228222e-05,-2.6415704e-05
0.027,0.039957877,2.2173846,3.6562353e-05,3.0417616e-05,-8.744471e-05
0.027999999999999997,-2.3532574,2.4496722,3.2770517e-05,1.6450706e-06,-5.6947294e-05
0.028999999999999998,-2.857838,0.16989101,3.695923e-05,-2.7130294e-05,-2.644102e-05
0.03,0.49461716,-1.5639321,6.6349625e-05,1.8020202e-06,-2.643505e-05
0.031,6.050579,-1.296832,6.6311826e-05,-2.6977687e-05,3.460206e-05
0.032,7.6083646,0.7294377,3.6264642e-05,1.9431366e-06,0.00012619562
0.033,7.216363,-1.2628556,3.5698286e-05,3.086395e-05,6.520137e-05
0.033999999999999996,1.3103046,-1.4032068,5.943831e-06,2.078476e-06,6.522041e-05
0.034999999999999996,-1.4332008,0.17025128,6.3747093e-06,2.1669503e-06,3.466992e-05
0.036,-3.574356,1.2049785,-5.1865783e-05,-2.659399e-05,6.513249e-05
0.037,-3.8447604,1.9004127,7.358844e-06,-2.65098e-05,9.563006e-05
0.038,-5.0007415,1.4050436,6.529388e-05,2.399493e-06,9.5705705e-05
0.039,-4.8508973,1.3048626,6.51989e-05,-5.5238404e-05,6.519421e-05
0.04,2.6199992,0.49640602,3.5853493e-05,2.5564025e-06,6.5182925e-05
0.040999999999999995,5.513418,1.3906263,3.6815396e-05,-2.619881e-05,4.075352e-06
0.041999999999999996,6.80108,0.76107204,3.5432437e-05,-2.6154776e-05,-6.1058985e-05
0.043,8.810837,-0.09130029,6.6131256e-06,-5.4917356e-05,-5.690859e-05
0.044,2.207439,-0.16218153,-2.3319537e-05,-2.5993635e-05,-5.687633e-05
0.045,0.7063294,-0.16862106,-2.3118764e-05,3.1802672e-05,-2.6374613e-05
0.046,0.050799936,0.11604911,6.6836587e-06,-2.5825086e-05,-5.6916793e-05
0.047,1.113932,1.0652304,6.408807e-06,3.1027948e-06,-8.7414905e-05
0.048,-1.5362552,1.4147904,6.2007557e-06,-5.4537875e-05,-8.740047e-05
0.048999999999999995,-4.388225,0.6390415,-4.746933e-05,-2.5591115e-05,-5.1945233e-05
0.049999999999999996,-1.254552,-0.7969299,-2.3478742e-05,-2.5530031e-05,-2.6352876e-05
0.051,5.4913754,-0.74309295,3.5104855e-05,-2.5461546e-05,6.5227534e-05
0.052,8.340047,0.37956598,5.6875124e-05,3.2337575e-05,9.572068e-05
0.053,8.996782,-0.92422193,-2.3993765e-05,3.5478008e-06,6.523519e-05
0.054,1.4950892,0.7103827,3.4819044e-05,-5.4091586e-05,0.000126281
0.055,-0.8109928,0.32866302,3.4837078e-05,-2.5156436e-05,3.4725872e-05
0.055999999999999994,-2.5097492,-0.6539731,-2.3872055e-05,3.7845352e-06,6.522319e-05
0.056999999999999995,-4.0667863,0.5402609,4.285346e-06,3.829942e-06,9.583814e-05
0.057999999999999996,-5.103784,1.7683764,5.3057065e-06,3.278963e-05,9.576149e-05
0.059,-4.57308,1.5013443,3.3991393e-05,3.99121e-06,6.530217e-05
0.06,2.5117524,0.15752028,4.822482e-06,-5.3636635e-05,3.476024e-05
0.061,6.823465,-1.1943841,-5.4417218e-05,-5.356536e-05,4.261652e-06
0.062,9.555485,-0.90656877,-2.543914e-05,-2.4643054e-05,-8.30616e-05
0.063,9.155193,-1.4147664,6.456077e-05,-2.4527231e-05,-2.6335112e-05
0.064,1.601819,-0.5149343,9.054323e-06,-2.4461666e-05,-5.6816316e-05
0.065,-1.7340688,0.7912875,3.5181893e-05,4.4878834e-06,4.172691e-06
0.066,-1.3262439,0.14957729,6.416021e-05,-5.3160085e-05,-2.6308384e-05
0.06699999999999999,0.108279325,0.694497,3.4931403e-05,3.3494354e-05,-8.736342e-05
0.06799999999999999,-2.2289202,1.4019648,4.2969937e-06,4.6873197e-06,-8.2279024e-05
0.06899999999999999,-2.5254078,0.0032117604,3.4385405e-06,3.3600976e-05,-2.6181357e-05
0.06999999999999999,-1.0990185,0.5860675,4.7511517e-06,4.8542815e-06,-2.6279682e-05
0.071,5.9411163,0.05734251,-4.0431368e-07,3.3759366e-05,4.3265277e-06
0.072,7.8818493,-0.8728601,6.1477283e-07,5.0069534e-06,0.00012631601
0.073,8.227395,0.3681445,4.0581335e-06,-2.3785644e-05,6.532158e-05
0.074,0.29561147,0.05445241,4.022673e-06,-2.3708595e-05,9.584077e-05
0.075,-2.0972636,0.110907026,3.2704775e-05,-2.3650331e-05,3.4864166e-05
0.076,-3.4921515,0.958581,3.6890113e-05,5.271971e-06,6.0565886e-05
0.077,-3.9806116,1.4294965,3.2809767e-05,-5.2348714e-05,0.00012640719
0.078,-5.2268023,1.688891,2.8480421e-05,-1.938954e-05,0.00012216043
0.079,-4.2885504,1.6764153,3.3203913e-05,-2.3326433e-05,6.534074e-05
0.08,3.0873253,0.45309594,3.3404292e-05,-2.3243605e-05,6.5324886e-05
0.081,8.750851,0.5950336,3.4717389e-06,3.45368e-05,-5.2460913e-05
0.08199999999999999,8.128701,0.82469785,2.9675418e-06,5.7455904e-06,-8.7194414e-05
0.08299999999999999,6.3023467,1.0927562,-2.5790689e-05,5.8412975e-06,-5.6731747e-05
0.08399999999999999,-0.5314733,0.961246,2.8934387e-06,3.4756384e-05,-5.6673405e-05
0.08499999999999999,-1.6121536,-0.27033824,1.920075e-06,-5.175981e-05,4.432982e-06
0.086,-1.9398793,0.31403807,3.0585911e-06,-5.1654e-05,-2.6170033e-05
0.087,-0.8521811,0.1699719,-2.652132e-05,6.135066e-06,-5.6681536e-05
0.088,-2.675199,1.861841,6.160344e-05,-8.036522e-05,-8.71757e-05
0.089,-3.4220202,1.3914684,2.866662e-05,-2.2557517e-05,-5.244558e-05
0.09,-0.5248868,-0.4425206,3.43925e-06,6.3804873e-06,-3.0331526e-05
0.091,3.6761234,-0.30117506,2.816389e-06,-2.2413553e-05,6.539582e-05
0.092,6.794304,-1.2777442,3.285252e-05,6.534582e-06,9.587146e-05
0.093,6.637275,-0.02688602,-2.6502645e-05,3.54598e-05,6.538158e-05
0.094,0.04997516,0.18580976,3.260116e-05,3.554103e-05,9.5888114e-05
0.095,-0.28940633,0.20401427,2.1421777e-06,3.559507e-05,6.544185e-05
0.096,-3.3241181,0.63032454,-2.6965861e-05,6.453899e-05,6.5412954e-05
0.09699999999999999,-3.9528284,0.6661635,1.8938064e-06,-5.0825445e-05,0.00012649354
0.09799999999999999,-5.16817,-0.17227146,2.973897e-06,-5.0721064e-05,9.589475e-05
0.09899999999999999,-5.055878,0.25824502,-2.701675e-05,7.0579367e-06,6.5413755e-05
0.09999999999999999,2.5460284,-0.0175708,3.2443048e-05,-5.05656e-05,3.4858793e-05
0.10099999999999999,8.1694145,-0.13399957,6.054025e-05,-2.1664875e-05,-2.6074646e-05
0.102,9.043816,-1.8049561,3.237234e-05,7.3019914e-06,-8.720835e-05
0.103,8.842259,-1.2204016,6.14087e-05,-2.1487762e-05,-2.6141026e-05
0.104,2.2190163,-0.5648654,3.176878e-05,7.4430386e-06,-5.6648074e-05
0.105,-0.11407396,-1.1721631,1.4871877e-06,3.6358193e-05,4.4452568e-06
0.106,-1.2187254,-0.18730527,3.1932293e-05,7.6028796e-06,-2.6144582e-05
0.107,1.2790016,0.24543697,3.124778e-05,1.1677686e-05,-8.712991e-05
0.108,-2.260898,0.046974283,1.0226734e-06,3.6580564e-05,-8.707597e-05
0.109,-3.5110776,0.6580735,-5.8332636e-05,-4.9921255e-05,-2.6013187e-05
0.11,-0.40084267,-0.8677479,-2.8061719e-05,-2.4972098e-05,4.4450917e-06
0.111,5.0372353,-1.6725713,6.802868e-07,-2.090754e-05,3.5016845e-05
0.11199999999999999,6.0978966,-1.8387424,5.9554062e-05,-2.0831945e-05,0.00012156998
0.11299999999999999,5.9015656,-0.6482162,2.9623241e-05,8.091728e-06,3.5055004e-05
0.11399999999999999,-0.782621,-0.91819286,3.0410278e-05,-2.4692607e-05,9.603075e-05
0.11499999999999999,-3.1548774,0.9826686,3.0960666e-05,8.280331e-06,4.4361464e-06
0.11599999999999999,-3.9379761,2.2514572,2.650087e-05,8.347291e-06,6.550356e-05
0.11699999999999999,-5.3844223,2.3696976,1.169234e-06,8.42864e-06,0.00012652743
